EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
78,0,0,0.0,1,0,1,305,1,98577,Frances,Pacific,WA,,
200,2,14,14.29,1,310,1,306,1,98579,Rochester,Lewis,WA,,
220,0,0,0.0,1,0,1,307,1,98580,Roy,Pierce,WA,,
2,0,0,0.0,1,0,1,308,1,98581,Ryderwood,Cowlitz,WA,,
6,2,2,3.0,0,2058,1,309,1,98582,Salkum,Lewis,WA,,
1,0,0,0.0,1,0,1,310,1,98583,Satsop,Grays Harbor,WA,,
697,6,13,53.62,1,758,1,311,1,98584,Hoodsport,Mason,WA,,
15,0,0,0.0,1,0,1,312,1,98585,Silver Creek,Lewis,WA,,
11,0,0,0.0,1,0,1,313,1,98586,Bay Center,Pacific,WA,,
5,0,0,0.0,1,0,1,314,1,98587,Taholah,Grays Harbor,WA,,
52,0,0,0.0,1,0,1,315,1,98588,Tahuya,Mason,WA,,
148,0,0,0.0,1,0,1,316,1,98589,Tenino,Thurston,WA,,
13,1,2,6.5,0,1256,1,317,1,98590,North Cove,Pacific,WA,,
67,0,0,0.0,1,0,1,318,1,98591,Toledo,Lewis,WA,,
92,1,3,30.67,1,397,1,319,1,98592,Union,Mason,WA,,
13,0,0,0.0,1,0,1,320,1,98593,Vader,Lewis,WA,,
52,1,3,17.33,1,406,1,321,1,98595,Westport,Grays Harbor,WA,,
119,0,0,0.0,1,0,1,322,1,98596,Winlock,Lewis,WA,,
539,1,2,269.5,1,1324,1,323,1,98597,Yelm,Thurston,WA,,
43,0,0,0.0,1,0,1,324,1,98601,Amboy,Clark,WA,,
27,0,0,0.0,1,0,1,325,1,98603,Ariel,Cowlitz,WA,,
1040,3,6,173.33,1,2038,1,326,1,98604,Battle Ground,Clark,WA,,
14,2,3,4.67,0,1128,1,327,1,98605,Bingen,Klickitat,WA,,
449,0,0,0.0,1,0,1,328,1,98606,Brush Prairie,Clark,WA,,
2533,3,15,168.87,1,1145,1,329,1,98607,Camas,Clark,WA,,
32,1,2,16.0,1,330,1,330,1,98610,Carson,Skamania,WA,,
139,0,0,0.0,1,0,1,331,1,98611,Castle Rock,Cowlitz,WA,,
68,3,3,22.67,1,331,1,332,1,98612,Cathlamet,Wahkiakum,WA,,
3,0,0,0.0,1,0,1,333,1,98613,Centerville,Klickitat,WA,,
7,0,0,0.0,1,0,1,334,1,98614,Chinook,Pacific,WA,,
3,1,1,3.0,0,80,1,335,1,98616,Cougar,Cowlitz,WA,,
15,0,0,0.0,1,0,1,336,1,98617,Dallesport,Klickitat,WA,,
4,0,0,0.0,1,0,1,337,1,98619,Glenwood,Klickitat,WA,,
55,2,2,27.5,1,1536,1,338,1,98620,Centerville,Klickitat,WA,,
7,0,0,0.0,1,0,1,339,1,98621,Grays River,Wahkiakum,WA,,
22,0,0,0.0,1,0,1,340,1,98624,Ilwaco,Pacific,WA,,
209,1,2,104.5,1,1311,1,341,1,98625,Kalama,Cowlitz,WA,,
309,3,18,17.17,1,472,1,342,1,98626,Kelso,Cowlitz,WA,,
2,0,0,0.0,1,0,1,343,1,98628,Klickitat,Klickitat,WA,,
318,0,0,0.0,1,0,1,344,1,98629,La Center,Clark,WA,,
64,7,13,4.92,0,571,1,345,1,98631,Long Beach,Pacific,WA,,
561,5,8,70.13,1,90,1,346,1,98632,Cathlamet,Wahkiakum,WA,,
